material_id,pretty_formula,final_energy,e_above_hull,spacegroup.number,volume,full_formula,band_gap,bond_valence,density,efemri,elasticity.poisson_ratio,elasticity.universal_anistrophy,elasticity.homogeneous_poisson,elasticity.elastic_anisotropy,elasticity.nsites,elasticity.G_Reuss,elasticity.G_VRH,elasticity.G_Voigt,elasticity.G_Voigt_Reuss_Hill,final_energy,final_energy_per_atom,formation_energy_per_atom,is_ordered,magnetism.total_magnetization,nelements,spacegroup.point_group,total_magnetization
mp-625054,AlHO2,-52.48897205,0.0,36,66.31653037811193,Al2H2O4,5.2866,,3.00416440924848,,0.21,,0.21,1.62,8.0,72.0,82.0,92.0,82.0,-52.48897205,-6.56112150625,-2.646065535,True,0.0003475,3,mm2,0.00017375
mp-753316,Li2AgF5,-31.63430672,0.06517307624999713,1,106.89370502216525,Li2Ag1F5,0.8915,,3.366979533311392,,,,,,,,,,,-31.63430672,-3.95428834,-2.217063768229167,True,0.0,3,1,0.0
mp-756570,Rb4SnO3,-65.77735279,0.0,9,437.020366483775,Rb8Sn2O6,1.4769999999999999,,3.864881488077475,,,,,,,,,,,-65.77735279,-4.111084549375,-1.521760654375,True,0.0001859,3,m,9.295e-05
mp-1008867,NaCuO,-11.76106079,0.5396684799999996,216,38.30118707311081,Na1Cu1O1,0.0017000000000000348,,4.445388440960803,,,,,,,,,,,-11.76106079,-3.9203535966666667,-0.6927892738505742,True,3.11e-05,3,-43m,3.11e-05
mp-11000,CaB4O7,-188.97170329,0.030717559270877715,31,200.46837933756484,Ca2B8O14,6.441799999999999,,3.2357505794589945,,,,,,,,,,,-188.97170329,-7.873820970416666,-2.9946631372222217,True,0.0002297,3,mm2,0.00011485
mp-28123,H7NF4,-110.25949507,0.0,161,217.3028527472638,H14N2F8,7.490600000000001,,1.4833224654034918,,,,,,,,,,,-110.25949507,-4.594145627916666,-1.4672712020833334,True,0.0029128,3,3m,0.0014564
mp-28797,YHSe,-17.65955306,0.0,187,50.45281535280021,Y1H1Se1,1.5589,,5.558094700145222,,0.2,,0.2,0.03,3.0,64.0,64.0,64.0,64.0,-17.65955306,-5.886517686666667,-1.651814808003472,True,0.0030137,3,-6m2,0.0030137
mp-28873,CsBrO3,-20.62267378,0.0,160,109.80625839226819,Cs1Br1O3,4.3148,,3.944049284522915,,,,,,,,,,,-20.62267378,-4.124534756,-1.0614911000862066,True,0.000505,3,3m,0.000505
mp-626800,ReH3O5,-117.26459956,0.0280043116666695,1,210.1047498698046,Re2H6O10,3.7536,,4.255623094695232,,,,,,,,,,,-117.26459956,-6.514699975555555,-1.6338654927777772,True,0.0001441,3,1,7.205e-05
mp-675180,ErCuSe2,-20.44073446,0.01774048562499786,156,91.39036202090956,Er1Cu1Se2,1.0458999999999996,,7.0630319695680805,,0.31,,0.31,0.61,4.0,27.0,29.0,30.0,29.0,-20.44073446,-5.110183615,-1.4314965061718752,True,0.0002456,3,3m,0.0002456
mp-675488,Li6I3N,-33.14986493,0.013281675500000478,8,219.1520316865488,Li6I3N1,2.3628,,3.3063940471775597,,,,,,,,,,,-33.14986493,-3.314986493,-1.0285794959999996,True,0.0001029,3,m,0.0001029
mp-753340,Li4VF8,-66.86338112,0.059671282307682816,3,153.77701441956765,Li4V1F8,1.9347,,2.4911023580809544,,,,,,,,,,,-66.86338112,-5.143337009230769,-3.0959962956410263,True,1.0086071,3,2,1.0086071
mp-760402,TaRhO4,-101.19767134,0.014040642291668348,109,139.5171784241571,Ta2Rh2O8,1.0166000000000004,,8.28027269715887,,,,,,,,,,,-101.19767134,-8.433139278333334,-2.3888176916666666,True,3.26e-05,3,4mm,1.63e-05
mp-774361,Li2Mn3F8,-307.81584354,0.02465095269230666,212,691.2697510492533,Li8Mn12F32,3.5254000000000003,,3.1774145367558586,,,,,,,,,,,-307.81584354,-5.919535452692307,-3.004479810419983,True,60.0376849,3,432,15.009421225
mp-8686,Na3AsSe3,-98.82447284,0.0,198,730.7680374125406,Na12As4Se12,2.0370999999999997,,3.46093389706438,,,,,,,,,,,-98.82447284,-3.5294454585714283,-1.0010984988123464,True,0.0003579,3,23,8.9475e-05
mp-971712,ZnCdS2,-13.27184278,0.01790682892857154,115,92.29310589856573,Zn1Cd1S2,1.3685999999999998,,4.353168346132271,,0.31,,0.31,1.36,4.0,18.0,20.0,22.0,20.0,-13.27184278,-3.317960695,-0.9555774190625002,True,0.0002815,3,-42m,0.0002815
mvc-3271,CrPO5,-99.07099313,0.059409105714285815,9,178.58724478819994,Cr2P2O10,1.3007,,3.0305953959158853,,,,,,,,,,,-99.07099313,-7.076499509285715,-2.1661916519047617,True,2.0005758,3,m,1.0002879
mp-27171,Hg2P2S7,-42.29130438,0.0,5,275.08116212949227,Hg2P2S7,1.8397000000000001,,4.15062097954915,,,,,,,,,,,-42.29130438,-3.8446640345454544,-0.49301723350378784,True,0.0028981,3,2,0.0028981
mp-27824,PICl6,-44.33267807,0.0,113,576.7732629670904,P2I2Cl12,1.7963,,2.1339044670864706,,,,,,,,,,,-44.33267807,-2.770792379375,-0.9777254941666667,True,0.0002927,3,-42m,0.00014635
mp-28205,Na3ReO5,-171.21915801,0.0,152,375.5935412565862,Na9Re3O15,2.4449,,4.445510723276648,,,,,,,,,,,-171.21915801,-6.341450296666666,-2.150682731072797,True,0.0,3,32,0.0
mp-31408,Al4(B2O5)3,-196.05989534,0.0,146,252.9605851570594,Al4B6O15,6.072299999999999,,2.7096812473374015,,,,,,,,,,,-196.05989534,-7.8423958136,-3.0834730528,True,0.0039383,3,3,0.0039383
mp-625378,NaH9O5,-146.75672354,0.0,5,267.03132449530705,Na2H18O10,4.7414000000000005,,1.393672205350052,,,,,,,,,,,-146.75672354,-4.891890784666667,-1.3477664697701148,True,0.0,3,2,0.0
mp-625576,Mo(HO2)2,-85.57821737,0.032430729821428805,1,168.98282486760056,Mo2H4O8,3.2029,,3.1829279777105235,,,,,,,,,,,-85.57821737,-6.112729812142858,-1.6165956492857154,True,2.01e-05,3,1,1.005e-05
mp-626000,NaHO,-27.26330615,0.0,4,66.96200128307393,Na2H2O2,3.0075000000000003,,1.9837149797760791,,,,,,,,,,,-27.26330615,-4.543884358333333,-1.5518135771839077,True,0.0001083,3,2,5.415e-05
mp-9781,K3SbS4,-62.1921531,0.0,36,492.74682327233324,K6Sb2S8,2.1851,,2.4756759958132406,,,,,,,,,,,-62.1921531,-3.88700956875,-1.1377598751875002,True,7.48e-05,3,mm2,3.74e-05
mvc-3677,MgFeF4,-64.22866684,,5,133.66995050683994,Mg2Fe2F8,0.12979999999999947,,3.8794443788051853,,,,,,,,,,,-64.22866684,-5.352388903333334,-3.0836881750000003,True,7.9999449,3,2,3.99997245
mp-1219458,SbTeRh,-64.54029845,0.0,198,272.7145084590219,Sb4Te4Rh4,0.5867000000000004,,8.57967737573855,,,,,,,,,,,-64.54029845,-5.378358204166666,-0.7041548574999995,True,0.0002806,3,23,7.015e-05
mp-15492,DyTa7O19,-521.83710501,0.0044697329629723725,188,683.4155687537358,Dy2Ta14O38,3.2269000000000005,,8.422166079654298,,,,,,,,,,,-521.83710501,-9.663650092777777,-3.420335672592592,True,0.0306966,3,-6m2,0.0153483
mp-27579,Na4P2O7,-319.47745003,0.0,19,704.6458122135667,Na16P8O28,4.4173,,2.5064582365171546,,0.28,,0.28,0.74,52.0,22.0,24.0,25.0,24.0,-319.47745003,-6.143797115961538,-2.609686868105658,True,0.000523,3,222,0.00013075
mp-27755,KAlCl4,-91.21634426,0.0,4,747.3345149066135,K4Al4Cl16,5.2915,,1.8477001275164677,,,,,,,,,,,-91.21634426,-3.8006810108333333,-2.1683274413333335,True,0.0019151,3,2,0.000478775
mp-27854,TaCl4F,-126.26591094,0.0,82,743.0769174349032,Ta4Cl16F4,3.0972999999999997,,3.054881492197406,,,,,,,,,,,-126.26591094,-5.2610796225,-2.2201790829166668,True,5.45e-05,3,-4,1.3625e-05
mp-30252,Na10CaSn12,-69.40029118,0.0,217,722.5967864014533,Na10Ca1Sn12,0.7610000000000001,,3.893978424803818,,,,,,,,,,,-69.40029118,-3.017403964347826,-0.2632424393703149,True,0.0019354,3,-43m,0.0019354
mp-30905,Ba3(BN2)2,-246.4821721,0.0,19,715.8851059077225,Ba12B8N16,2.5259,,4.5429044653226605,,,,,,,,,,,-246.4821721,-6.8467270027777785,-1.1780963659259267,True,0.0008957,3,222,0.000223925
mp-32539,W(ClO)2,-56.40010486,0.07129776533334198,26,249.07062428494282,W2Cl4O4,1.8124,,3.8234211193020937,,0.35,,0.35,-138.15,10.0,-1.0,8.0,17.0,8.0,-56.40010486,-5.6400104859999995,-1.7377861259999996,True,3.6e-06,3,mm2,1.8e-06
mp-35269,Ca4Sb2S,-58.60040797,0.07102577163264989,122,401.3634274212327,Ca8Sb4S2,1.0813999999999995,,3.6068258743170616,,,,,,,,,,,-58.60040797,-4.185743426428571,-1.395764588303571,True,0.0021782,3,-42m,0.0010891
mp-3677,MgSiN2,-113.57751429,0.0,33,173.72813159837423,Mg4Si4N8,4.031000000000001,,3.0740862939954434,,0.25,,0.25,0.23,16.0,102.0,104.0,107.0,104.0,-113.57751429,-7.098594643125,-1.354448663125,True,0.0009713,3,mm2,0.000242825
mp-4174,HoNiSb,-17.20334104,0.0,216,63.42327981062593,Ho1Ni1Sb1,0.3481000000000005,,9.042786209418763,,0.2,,0.2,0.15,3.0,55.0,56.0,57.0,56.0,-17.20334104,-5.734447013333334,-0.9679314166666669,True,0.0004542,3,-43m,0.0004542
mp-546787,KNO2,-23.07509087,0.016142777499999816,8,72.57905519486674,K1N1O2,2.5007,,1.9470931970206746,,,,,,,,,,,-23.07509087,-5.7687727175,-1.2765687469999998,True,0.000119,3,m,0.000119
mp-560088,Cs2Li3F5,-44.26019194,0.0911276059999997,38,170.92307754217296,Cs2Li3F5,5.6212,,3.707543520556493,,,,,,,,,,,-44.26019194,-4.426019194,-2.9495223758362075,True,0.0001255,3,mm2,0.0001255
mp-752974,VOF2,-102.9435755,0.062325164375052644,44,222.7077207619061,V4O4F8,2.2187,,3.12971926506118,,,,,,,,,,,-102.9435755,-6.43397346875,-2.79801721625,True,3.9999733,3,mm2,0.999993325
mp-753821,Pr3GaO6,-154.26474449,0.0,36,311.5349181682859,Pr6Ga2O12,3.6286,,6.273014379011475,,,,,,,,,,,-154.26474449,-7.7132372245,-3.4195812757499993,True,0.0018442,3,mm2,0.0009221
mp-763784,LiMn2F6,-51.51206275,0.06670931777777511,5,114.05063178904386,Li1Mn2F6,0.954,,3.3604801646355873,,,,,,,,,,,-51.51206275,-5.723562527777777,-2.8798039437994896,True,9.0000405,3,2,9.0000405
mp-768502,Lu2WO6,-292.44578049,0.015947160277773875,19,460.77190858418106,Lu8W4O24,3.7786,,9.0783169086989,,,,,,,,,,,-292.44578049,-8.1234939025,-3.3315168425,True,0.0002319,3,222,5.7975e-05
mp-772232,Tm2P4O13,-292.73687007,0.005682509736839592,20,522.2716574883743,Tm4P8O26,5.6293999999999995,,4.2589155886389864,,,,,,,,,,,-292.73687007,-7.703601843947369,-3.1774242682456153,True,7.14e-05,3,222,3.57e-05
mp-9919,LiZnSb,-16.78920128,0.0,186,124.95634344988504,Li2Zn2Sb2,0.41500000000000004,,5.159037617758053,,0.26,,0.26,0.25,6.0,25.0,26.0,27.0,26.0,-16.78920128,-2.7982002133333332,-0.42964430777777807,True,4.2e-06,3,6mm,2.1e-06
mp-998569,InGeCl3,-34.03815689,0.019329499750000423,161,343.0649497460598,In2Ge2Cl6,3.2936,,2.844327916870299,,,,,,,,,,,-34.03815689,-3.4038156890000004,-1.188151376,True,0.0006271,3,3m,0.00031355
mp-1025315,Mn(AlTe2)2,-31.69236141,0.0,121,226.08804648985247,Mn1Al2Te4,0.38910000000000045,,4.548554084872758,,0.29,,0.29,1.48,7.0,12.0,14.0,16.0,14.0,-31.69236141,-4.527480201428571,-0.5934272482758617,True,4.9999531,3,-42m,4.9999531
mp-13335,Cd(BO2)2,-387.2212002,0.036839683214282104,173,507.05530274277197,Cd8B16O32,3.3480999999999996,,5.1881922291865905,,,,,,,,,,,-387.2212002,-6.914664289285715,-2.439590386190475,True,0.002806,3,6,0.00035075
mp-28090,Si2H2S3,-132.37559703,0.0,114,632.37042262086,Si8H8S12,3.3657,,1.6215631455543453,,,,,,,,,,,-132.37559703,-4.7276998939285715,-0.7022099324107138,True,0.0008065,3,-42m,0.000201625
mp-2964,NaNO2,-23.10659501,0.018170218906244706,44,55.88779902271914,Na1N1O2,2.4755,,2.0499884062969245,,0.25,,0.25,0.73,4.0,14.0,15.0,16.0,15.0,-23.10659501,-5.7766487525,-1.2314131953879306,True,0.0,3,mm2,0.0
mp-29756,RbB3O5,-270.28784226,0.0011233785802371443,19,490.35252774835385,Rb4B12O20,5.218500000000001,,2.6806593990912426,,,,,,,,,,,-270.28784226,-7.507995618333333,-2.805382906111111,True,0.0016953,3,222,0.000423825
mp-4763,ZnSiP2,-37.53076569,0.0,122,154.87821212777135,Zn2Si2P4,1.3641000000000005,,3.333168040840155,,0.24,,0.24,0.47,8.0,51.0,54.0,56.0,54.0,-37.53076569,-4.69134571125,-0.3134300504166667,True,0.0001382,3,-42m,6.91e-05
