material_id,pretty_formula,final_energy,e_above_hull,spacegroup.number,volume,full_formula,band_gap,density,final_energy_per_atom,formation_energy_per_atom,magnetism.total_magnetization,total_magnetization
mp-8537,S(OF)2,-101.82398165,0.0,92,351.85641023442000,S4O8F8,5.903700000000000,1.9266452923245000,-5.091199082500000,-2.080333120125000,0.0005664,0.0001416
mp-1091384,NbTl3S4,-38.93348249,0.0,217,239.0939594802360,Nb1Tl3S4,2.6754,5.794436546419340,-4.86668531125,-0.9013060678125000,0.0002852,0.0002852
mp-27255,Ga2TeS2,-40.62399558,0.0,109,269.32537257619900,Ga4Te2S4,1.2007000000000000,4.083764412242540,-4.062399558,-0.85352101625,0.0002379,0.00011895
mp-35031,Pr5CuSe8,-78.82641422,0.0685273966071378,82,358.69731972428000,Pr5Cu1Se8,0.9539,6.480012794468940,-5.630458158571430,-1.9022442859821400,0.0017212,0.0017212
mp-550314,Rb4CO4,-43.71906755,0.2648586083333340,146,195.09255581151900,Rb4C1O4,1.7390000000000000,3.5568001659256800,-4.857674172222220,-1.5029229488888900,0.0,0.0
mp-554002,Al(HO)3,-81.95194641,0.022830811785715900,1,108.5317857931120,Al2H6O6,5.2323,2.3869128374250500,-5.853710457857140,-2.038476603571430,3.31E-05,1.655E-05
mp-5830,Na3AsS3,-107.93171922,0.0,198,643.6610939132020,Na12As4S12,2.5478000000000000,2.4775275875985000,-3.854704257857140,-1.0651265598614500,0.0004887,0.000122175
mp-625671,Mn(HO)2,-30.51872959,0.01719039550000100,1,48.88035335696090,Mn1H2O2,1.5352,3.0218577567216300,-6.1037459180000000,-1.5434680395862100,5.0000104,5.0000104
mp-755390,NbFeO4,-96.21455222,0.03586337000003330,119,154.55157886579400,Nb2Fe2O8,1.0961000000000000,4.571651681100880,-8.017879351666670,-2.4580197666666700,0.0,0.0
mp-761219,Na8TiO6,-294.63340146,0.059065204333332800,33,886.5829069177080,Na32Ti4O24,2.0926,2.45569397686079,-4.910556691,-1.974459331383140,0.0,0.0
mp-1029378,Mg2SbN3,-69.20204289,0.0,36,167.02540202518800,Mg4Sb2N6,1.3583000000000000,4.223094860216480,-5.7668369075,-0.5574958883333330,0.0001299,6.495E-05
mp-1029679,BaGe7N10,-240.88829463,0.0,7,516.4872444197330,Ba2Ge14N20,2.6487000000000000,5.053268953007090,-6.6913415175,-0.356057347222222,0.0026349,0.00131745
mp-1194266,K3SbS3,-106.95830947,0.0,198,885.4168683445100,K12Sb4S12,2.7125000000000000,2.514953468481410,-3.8199396239285700,-1.1970042408392900,0.0012675,0.000316875
