Materials,Piezoelectric_Modulus,Crystal_Symmetry,mp_id
DyTa7O19,0.009680291,hexagonal,mp-15492
Li2CSb,0.56827,cubic,mp-15988
DySbPt,0.34776,cubic,mp-16327
ErSbPt,0.35321,cubic,mp-16329
Ga2HgTe4,0.106627653,tetragonal,mp-16337
Ca2Ga2O5,1.125637981,orthorhombic,mp-16433
CaTeO3,0.228338251,monoclinic,mp-17008
CsCSe4,0.21087,orthorhombic,mp-17095
K6CdO4,0.13828777,hexagonal,mp-17161
Na2GeF6,0.123475839,trigonal,mp-17297
Er2WO6,0.61397,orthorhombic,mp-17426
K6CdTe4,0.370859023,hexagonal,mp-17698
Cd4SiSe6,0.267876653,monoclinic,mp-17791
Cd4GeSe6,0.289390602,monoclinic,mp-18163
Cd4SiS6,0.348714296,monoclinic,mp-18179
Na4CoO3,1.241128879,monoclinic,mp-18762
Fe3PO7,1.119089815,trigonal,mp-18775
Fe2P2O7,0,triclinic,mp-18849
K3CrO8,0.91445,tetragonal,mp-18876
TiFeO3,3.006264296,trigonal,mp-19270
K3CrO4,5.75459,tetragonal,mp-19414
FePO4,0.199665,hexagonal,mp-19752
CaFeO2,0,tetragonal,mp-19842
InGaS3,0.226026339,orthorhombic,mp-19885
CsPbF3,0.489417733,trigonal,mp-20282
ErNiSb,0.195903333,cubic,mp-21272
Cd(InTe2)2,0.131940538,tetragonal,mp-21374
Cs2PbO3,0.951827203,orthorhombic,mp-21521
VC3Se4,0.16233,cubic,mp-21855
Cd(InSe2)2,0.178736097,tetragonal,mp-22304
InCS2,4.016270262,tetragonal,mp-22736
InCSe2,0.213827003,tetragonal,mp-22811
CsGeCl3,0.634744411,trigonal,mp-22988
RbClO3,0.463167635,trigonal,mp-23011
CsCCl3,0.00528,hexagonal,mp-23032
Sr4Cl6O,0.173800903,hexagonal,mp-23321
Ca4Cl6O,0.113924022,hexagonal,mp-23326
NaClO3,0.00888,cubic,mp-23330
Hg3Cl4O,0.2687,cubic,mp-23333
C2HgI4,0.12872,tetragonal,mp-23353
Hg3(SCl)2,0.35044709,cubic,mp-23418
H4NF,0.082937466,hexagonal,mp-23794
GaHO2,2.252014085,orthorhombic,mp-23803
Sr7(H6Cl)2,0.178933004,hexagonal,mp-23827
CrHO2,4.556029453,trigonal,mp-23910
CrHO2,1.216951648,orthorhombic,mp-24040
PHF2,0.07918,orthorhombic,mp-24064
FeP2O7,1.335049939,monoclinic,mp-25246
CPO4,1.327074521,orthorhombic,mp-25886
Cr(PO3)3,0.121603275,hexagonal,mp-26910
CrP2O7,0.353929186,monoclinic,mp-26974
CrPO4,1.651530546,orthorhombic,mp-27042
CsCrF4,0.031084412,hexagonal,mp-27149
Sn2IF3,0.30206,orthorhombic,mp-27167
KSb4F13,0.604993312,tetragonal,mp-27211
H5N2F,0.03797,orthorhombic,mp-27235
Ca3PI3,2.75E-21,cubic,mp-27272
PCl3O,0.262189574,orthorhombic,mp-27277
SeOF2,0.600230526,orthorhombic,mp-27367
RbCrI3,0.296567552,monoclinic,mp-27442
Na5Fe3F14,0,tetragonal,mp-27463
NaSb3F10,0.884833203,hexagonal,mp-27573
S3(NCl)2,0.179028333,monoclinic,mp-27699
PICl6,0.18808,tetragonal,mp-27824
Hg3(SeCl)2,0.35788,cubic,mp-27851
Hg3(TeCl)2,0.32946,cubic,mp-27852
TaCl4F,0.002710779,tetragonal,mp-27854
Li8CoO6,0.215605636,hexagonal,mp-27920
Na2SbF5,0.09497,orthorhombic,mp-27936
H7NF4,0.238319648,trigonal,mp-28123
FeSeCl7,0.417714862,triclinic,mp-28189
CSO,0.193322206,trigonal,mp-28240
CsIO3,0.628664909,orthorhombic,mp-28295
GeH3Cl,0.219389479,orthorhombic,mp-28369
CsGeI3,0.673098659,trigonal,mp-28377
S(ClO)2,0.230755076,orthorhombic,mp-28405
KTcCl3,0.505453378,monoclinic,mp-28408
Sr(ClO3)2,2.59217,orthorhombic,mp-28477
Cd(HO)2,1.253031095,monoclinic,mp-28508
Eu4Cl6O,0.170067888,hexagonal,mp-28546
S2O5F2,0.14993,tetragonal,mp-28676
P4N3Cl11,0.24687192,trigonal,mp-28792
Ca2Si5N8,0.357452879,monoclinic,mp-28922
Sn4OF6,0.25664,orthorhombic,mp-28932
Ti(CS)4,0.18164,tetragonal,mp-29091
Sr6C3N5,0.29175075,tetragonal,mp-29136
Co(SiP)3,0.138125227,monoclinic,mp-29187
Sn2ClF3,1.13136,cubic,mp-29252
GaCCl4,0.04772,tetragonal,mp-29362
GaCI4,0.053480113,tetragonal,mp-29403
CsXeF7,0.095493333,cubic,mp-29513
PH2F3,0.353948522,orthorhombic,mp-29515
GaTeI7,0.487755882,monoclinic,mp-29541
TlClO3,0.666329763,trigonal,mp-29738
Ca10P6O25,0.238543855,hexagonal,mp-29760
UCO5,0.517998259,orthorhombic,mp-29761
CsHgCl3,0.211048784,trigonal,mp-29845
IO2F,0.61797,orthorhombic,mp-29946
NOF,0.05463,orthorhombic,mp-29966
Ca2CoO3,0,monoclinic,mp-30240
Na10CaSn12,0.154955824,cubic,mp-30252
TlClO4,0.203556667,cubic,mp-30530
CaSO4,0.02135,hexagonal,mp-3082
Ho3GaO6,0.560859072,orthorhombic,mp-31114
K3FeO2,0.01153,tetragonal,mp-31218
CrOF3,1.975077167,tetragonal,mp-31703
Cs2TiS3,0,orthorhombic,mp-3247
W(ClO)2,5.761037446,orthorhombic,mp-32539
CsNO2,0.057537685,trigonal,mp-3288
Fe5CO8,0.06483,cubic,mp-33300
Pr3NF6,86.09419987,triclinic,mp-33319
Ca(HoS2)2,0.521225496,tetragonal,mp-34011
KY3F10,5.906145476,trigonal,mp-34042
H3ClO,0.417406272,trigonal,mp-34078
C4SnP10,0.787757811,trigonal,mp-34126
Ca(PrS2)2,0.3504,tetragonal,mp-34185
CsTaN2,0.22451,tetragonal,mp-34293
Mn(CCl2)2,1.16023,orthorhombic,mp-34328
H4NCl,0.19516,cubic,mp-34337
Tb2CdS4,2.30213,tetragonal,mp-34376
CaHN,1.232885,tetragonal,mp-34932
Pr5CSe8,0.327126677,tetragonal,mp-35031
NdOF,0.967473333,cubic,mp-35208
Ca4Sb2S,2.22035,tetragonal,mp-35269
LaOF,1.30365,cubic,mp-35555
NaPF3,0.970312599,triclinic,mp-35683
Ca(NdS2)2,0.34908,tetragonal,mp-35876
PrOF,0.979003333,cubic,mp-36033
Ca(SmS2)2,0.36677,tetragonal,mp-36100
TmCSe2,0.462928232,trigonal,mp-36209
Nd5CSe8,0.327223376,tetragonal,mp-36252
Ca(GdS2)2,0.451767836,tetragonal,mp-36358
Ta9(FeS3)2,1.173892707,hexagonal,mp-3652
Cd(Ga3Te5)2,0.145544506,monoclinic,mp-36641
CdGeP2,0.1254,tetragonal,mp-3668
Pr2CdS4,0.97776,tetragonal,mp-36912
NaYF4,0.621230331,hexagonal,mp-37267
SmOF,0.93735,cubic,mp-37381
VC3S4,0.107926667,cubic,mp-3762
Ca3SiO5,1.027161248,hexagonal,mp-37657
Cd(GaSe2)2,0.110636593,tetragonal,mp-3772
Na2SiF6,0.111996961,trigonal,mp-3775
NaClO4,0.17355,tetragonal,mp-38103
Sm2CdSe4,32.50433,tetragonal,mp-38125
Sm5CSe8,0.369493799,tetragonal,mp-38162
YOF,0.89716,cubic,mp-38194
Ca(TbS2)2,0.45161,tetragonal,mp-38327
GaCTe2,0.13482,tetragonal,mp-3839
CsNd5Se8,0.321906157,tetragonal,mp-38442
Sr(ErS2)2,0.76222,tetragonal,mp-38728
Eu(YS2)2,0.553776355,tetragonal,mp-38971
C3PS4,0.786419237,orthorhombic,mp-3934
NbC3Se4,0.033063333,cubic,mp-4043
TaC3Se4,0.063186667,cubic,mp-4081
Ga2CoS4,0.129578653,tetragonal,mp-4152
Ca3Ti2O7,5.881253967,orthorhombic,mp-4163
NaCdF3,0.482775626,trigonal,mp-4360
Cd(GaS2)2,0.173443134,tetragonal,mp-4452
DyNiSb,0.268343333,cubic,mp-4510
CdSiP2,0.155355,tetragonal,mp-4666
Ga2HgSe4,0.146137942,tetragonal,mp-4730
K2UF6,0.406476785,hexagonal,mp-4731
Ga2HgS4,0.241309446,tetragonal,mp-4809
Na2ThF6,0.265340842,trigonal,mp-4829
GaCSe2,0.053326496,tetragonal,mp-4840
SNF,0.04944,tetragonal,mp-4937
Ho2C2O5,0.155931185,orthorhombic,mp-5029
FePO4,0.183208721,monoclinic,mp-504276
K2CdPb,0.11494,orthorhombic,mp-504498
InGaS3,0.036973915,hexagonal,mp-504951
InGaSe3,0.0942294,hexagonal,mp-504952
Pb2CO4,0.1772,orthorhombic,mp-505702
VC3O4,3.611705,tetragonal,mp-510657
FeHO2,1.622646757,orthorhombic,mp-510670
Cd4GeS6,0.325989587,monoclinic,mp-5151
CdSnP2,0.07753,tetragonal,mp-5213
GaCS2,0.0606,tetragonal,mp-5238
Li15Cr2N9,0.12387509,orthorhombic,mp-530262
Li2GeF6,0.151767099,trigonal,mp-5368
FePO4,0.20358,orthorhombic,mp-540111
CPO4,0.560517542,tetragonal,mp-540284
Cs2Hg3I8,0.229068387,monoclinic,mp-540574
FeTeCl7,0.109442701,triclinic,mp-540997
KClO4,0.085203333,cubic,mp-546633
CsClO4,0.052343333,cubic,mp-546711
Rb4CO4,1.260662745,trigonal,mp-550314
KClO3,0.453040668,trigonal,mp-550506
RbClO4,0.033196667,cubic,mp-550759
K3Mn2F7,0,tetragonal,mp-554144
C8GeS6,1.597066076,orthorhombic,mp-5546
OsOF5,0.079929604,orthorhombic,mp-555514
NaClO3,0.05914,cubic,mp-555726
P4PtF12,0.042012835,cubic,mp-555863
CaSO4,0.02239,hexagonal,mp-556372
NbCl3O,0.00874,tetragonal,mp-556422
C2WS4,0.09547,tetragonal,mp-557373
LiFe2F6,0.161355609,tetragonal,mp-557403
Cd(PO3)2,0.11583,orthorhombic,mp-557614
TeOF2,1.217635664,monoclinic,mp-558387
Cs3Li2F5,1.67427177,orthorhombic,mp-558728
OsOF4,0.04694,orthorhombic,mp-558879
IOF3,0.27129,orthorhombic,mp-559377
ErCS2,0.21865,orthorhombic,mp-559826
PNF2,0.5666,orthorhombic,mp-560008
Cs2Li3F5,0.134656797,orthorhombic,mp-560088
SbCl3F2,0.079478527,tetragonal,mp-560748
Ga(IO3)3,1.449313576,hexagonal,mp-561104
CsSO3,0.49603861,hexagonal,mp-561681
Cs3TaO8,0.22031,tetragonal,mp-561942
NbC3S4,0.003446667,cubic,mp-5621
VCO3,1.126098896,triclinic,mp-562987
CsSbCl6,0,monoclinic,mp-567583
VFeSb,3.681806667,cubic,mp-567636
CdSO4,1.460852039,orthorhombic,mp-5679
Cd(InSe2)2,0.17379,tetragonal,mp-568032
ReNCl4,0.444048192,tetragonal,mp-568100
C2HgI4,0.15846,tetragonal,mp-568598
Cd(InSe2)2,0.15926,tetragonal,mp-568661
CsLi2I3,0.113405786,tetragonal,mp-569055
CsSiTe3,0.187142052,monoclinic,mp-570957
Rb2CoCl4,0.697067719,orthorhombic,mp-571242
TiCoSb,1.127926667,cubic,mp-5967
Cs3LiCl4,0.337267045,orthorhombic,mp-606711
Cs2Li3I5,0.504427675,monoclinic,mp-608311
Cs2TeO3,0.805724098,trigonal,mp-614803
Rb2ZnCl4,0.141736675,orthorhombic,mp-616185
Cs2V5O13,0.261261687,tetragonal,mp-616573
K2ZnCl4,0.268912105,orthorhombic,mp-618177
Cd(HO)2,0.716340724,triclinic,mp-625094
CsHO,0.61066,orthorhombic,mp-625136
H7ClO3,0.209294655,monoclinic,mp-625151
H7ClO3,2.686375682,triclinic,mp-625171
H3ClO5,0.726124565,orthorhombic,mp-625175
Cd(HO)2,1.037649004,monoclinic,mp-625565
Co(HO)2,0.814254712,monoclinic,mp-625939
Co(HO)2,1.482195788,trigonal,mp-625943
FeHO2,0.887,orthorhombic,mp-626088
H5ClO6,0.03191,orthorhombic,mp-626201
CsH3O2,0.682090073,orthorhombic,mp-626417
Ca(HO)2,1.321289979,monoclinic,mp-626644
Fe(HO)2,0.930794515,monoclinic,mp-626689
NaHF2,1.45239242,monoclinic,mp-632282
Ca2PI,0.722866386,triclinic,mp-635393
Er(CTe)3,0.057820905,orthorhombic,mp-640885
Tm(CTe)3,0.061622439,orthorhombic,mp-640889
CsHO,3.7313,orthorhombic,mp-642682
CsGeI3,1.734427001,monoclinic,mp-642690
K3ClO,1.445795767,orthorhombic,mp-673798
CsPbCl3,0.336436325,trigonal,mp-675022
Ca5NbN5,0.695577715,monoclinic,mp-675101
Y5O4F7,1.598042075,monoclinic,mp-675109
ErCSe2,0.473289273,trigonal,mp-675180
DyCSe2,0.514238833,trigonal,mp-675349
NaY2F7,0,monoclinic,mp-675778
KNbCl6,0.480953206,monoclinic,mp-675801
YCSe2,0.474141812,trigonal,mp-675902
Li3ErCl6,0.27997701,trigonal,mp-676361
Ca(InTe2)2,0.0372,tetragonal,mp-677072
RbHF2,0.161119258,orthorhombic,mp-677103
CdGeO3,75.01858211,orthorhombic,mp-685935
ScCS2,0.682166471,trigonal,mp-6980
Er3GaS6,0.31627901,orthorhombic,mp-7290
NbO2F,4.405446754,orthorhombic,mp-752415
Mn6O5F7,1.111044199,triclinic,mp-752461
NbO2F,5.336940859,monoclinic,mp-752467
Li7FeO6,0.633027585,trigonal,mp-752471
SbO2F,0.837965405,monoclinic,mp-752561
LiVF3,1.45552578,trigonal,mp-752764
Li3CF4,1.34354884,orthorhombic,mp-752895
WOF4,2.896530435,tetragonal,mp-752955
VO2F,1.641256402,monoclinic,mp-752960
LiMnF4,0.307503183,monoclinic,mp-752973
VOF2,4.913221618,orthorhombic,mp-752974
FeOF,1.0974151,orthorhombic,mp-752975
Li4CoO4,0.14776,tetragonal,mp-753010
VOF3,0.28764,orthorhombic,mp-753030
Li5Cr2O8,0.368020085,triclinic,mp-753141
VOF,0.12411,orthorhombic,mp-753200
VO2F,3.424903921,monoclinic,mp-753203
LiVF6,0.949897328,trigonal,mp-753212
Fe4O3F5,0.492035093,orthorhombic,mp-753217
LiCrO2,1.434160224,hexagonal,mp-753227
Li5(CoO3)2,0.412801328,triclinic,mp-753251
Fe4O3F5,0.707077814,orthorhombic,mp-753256
Li4VF8,2.194037952,monoclinic,mp-753340
WOF3,0.15513,orthorhombic,mp-753398
TaCrO4,0.515555,tetragonal,mp-753467
LiCoO2,0.638095013,hexagonal,mp-753473
VOF3,1.338051016,tetragonal,mp-753525
Li3VF8,0.33711,orthorhombic,mp-753533
SbOF,1.190693802,orthorhombic,mp-753539
LiVF6,0.47917056,monoclinic,mp-753567
PCl3O,0.223508923,orthorhombic,mp-753611
LiVF6,3.842910782,monoclinic,mp-753694
FePO4,0.137953657,orthorhombic,mp-753756
NbOF3,0,tetragonal,mp-753785
Ca(ClO3)2,0.45845,orthorhombic,mp-753813
LiCO2,1.390841841,triclinic,mp-753845
LiCoS2,0,trigonal,mp-753946
Mn4OF8,0.337844611,monoclinic,mp-754014
CsClO3,0.161208522,orthorhombic,mp-754202
Mn4OF6,0.512482606,hexagonal,mp-754215
NbFeO4,0.151875,tetragonal,mp-754222
Li5CrO5,1.426481526,monoclinic,mp-754233
Cr4OF11,0.085557222,monoclinic,mp-754243
Li5CoO4,0.178502804,orthorhombic,mp-754280
FeOF,0.672936705,trigonal,mp-754389
V4O3F5,6.42732,orthorhombic,mp-754530
VOF,0.114615,tetragonal,mp-754589
Sr3CaI8,0.075068948,monoclinic,mp-754610
LiMnF3,0.03277,hexagonal,mp-754676
NClO3,0.04284,orthorhombic,mp-754712
NaCO2,0.864780047,orthorhombic,mp-754718
Na2FeO2,0.538352642,orthorhombic,mp-754743
FeOF,0.847014607,monoclinic,mp-754764
Li5(FeO2)4,0.639561964,trigonal,mp-754802
NbCrO4,3.535535,tetragonal,mp-754908
Li2CrO2,1.236634449,orthorhombic,mp-754913
VOF3,1.630635399,monoclinic,mp-754919
LiFeO2,1.292885424,hexagonal,mp-754977
Cr4OF11,0.149364395,monoclinic,mp-755067
Mn6O7F5,2.218760562,triclinic,mp-755080
Fe6O5F7,0.349151381,orthorhombic,mp-755097
LiVF4,0.120715431,tetragonal,mp-755244
FeHO2,1.168199427,trigonal,mp-755285
Ce2Dy2O7,0.622085,tetragonal,mp-755380
NbFeO4,2.72834,tetragonal,mp-755390
CrSbO4,0.45871,tetragonal,mp-755493
Li2MnF4,0.413369871,monoclinic,mp-755582
Na2FeO3,1.052900753,orthorhombic,mp-755627
LiFeF4,1.386488012,trigonal,mp-755693
Li2FeF4,0.476560185,tetragonal,mp-755718
Na3CoO3,1.937266667,cubic,mp-755811
Er3TaO7,0.27207,orthorhombic,mp-755898
Ca4I6O,0.223105013,hexagonal,mp-755949
Li2CrO3,1.654358212,orthorhombic,mp-756005
VO2F,5.83761,orthorhombic,mp-756042
TaCrO4,0,orthorhombic,mp-756340
Sr2CaI6,0,monoclinic,mp-756500
Li(CoO2)2,0.356018418,trigonal,mp-756773
LiFeF4,0,orthorhombic,mp-756849
Li2CrO4,0.416288729,triclinic,mp-756873
Li4MnF8,0.419820246,monoclinic,mp-756952
Li2CrO4,0.71060534,orthorhombic,mp-756967
LiVF6,0.248222307,trigonal,mp-757163
LiMn2F6,0.45416057,trigonal,mp-757174
Li7Cr2O8,1.670794101,triclinic,mp-757971
Hg3(SF)2,0.387315834,cubic,mp-7580
Fe2OF3,0.764449929,orthorhombic,mp-758397
FeOF,1.187726032,orthorhombic,mp-758560
Li2MnF4,0.544,tetragonal,mp-758876
Li3CF6,0.1958,orthorhombic,mp-759234
FeOF,0.958746397,monoclinic,mp-759283
Li3VF7,0.368837287,trigonal,mp-759421
VO2F,4.376853531,monoclinic,mp-759469
Cr(PO3)3,0.09037,orthorhombic,mp-759495
MnOF,0.001625,tetragonal,mp-759601
Li3MnF7,0.356355906,trigonal,mp-759724
W(OF)2,5.82821267,orthorhombic,mp-759764
Li4CF7,0.37718,cubic,mp-759877
VOF3,1.487185769,monoclinic,mp-760313
FePO4,0.400522712,tetragonal,mp-760343
VOF3,2.886702827,monoclinic,mp-760367
CsClO3,0.374578527,trigonal,mp-760386
NbOF3,0.41778,orthorhombic,mp-760762
Rb2CoO3,1.48617,orthorhombic,mp-761568
FeOF,0.064988533,orthorhombic,mp-762996
Mn2OF3,0.726157048,orthorhombic,mp-763007
Li2MnF4,0.526922784,tetragonal,mp-763098
LiMn2F6,0.571136745,monoclinic,mp-763784
Cr4OF11,0.133272348,triclinic,mp-763985
Na2FeO3,0.805898982,monoclinic,mp-764074
LiMnF5,0.340825145,tetragonal,mp-764354
V2OF7,2.037679327,monoclinic,mp-765500
V3(O2F)2,1.149799907,triclinic,mp-765508
Mn6O7F5,0.36592424,triclinic,mp-765618
NbO2F,0.56239,orthorhombic,mp-766094
FePO4,0.17048,orthorhombic,mp-766442
FePO4,0.16982,orthorhombic,mp-766460
Cs2CeO3,1.07339171,orthorhombic,mp-768223
RbFeO2,0.03027,tetragonal,mp-768729
Li2CrO3,2.566530257,monoclinic,mp-770192
Li3CrO4,1.221519667,orthorhombic,mp-770632
Dy2P4O13,0.0282,orthorhombic,mp-771147
SrCa2I6,0.04804,orthorhombic,mp-771568
CdSeO4,1.454782163,orthorhombic,mp-772052
Li3CrO4,0.34857,tetragonal,mp-772659
Ca2C2O5,0.309278417,orthorhombic,mp-772813
LiCO2,1.498886237,monoclinic,mp-773044
Li2FeO3,0.464365905,monoclinic,mp-774155
Fe3OF7,0.391217382,trigonal,mp-774191
Na6CoO4,5.38655,cubic,mp-774357
Li2Mn3F8,1.13E-21,cubic,mp-774361
Er2TeO6,0.36028,orthorhombic,mp-774557
Li2FeF5,1.31172,orthorhombic,mp-775758
Li2VF4,0.03449,tetragonal,mp-775776
Li3FeF6,0.236202795,orthorhombic,mp-776684
Li2FeF5,0,orthorhombic,mp-776816
Li2FeF4,0,monoclinic,mp-777418
DyHO2,1.124530518,orthorhombic,mp-777422
LiFeF4,0.635868581,trigonal,mp-777553
Li2MnF4,0.0417,tetragonal,mp-777589
LiFeF4,0,monoclinic,mp-777801
LiMnF3,0.270798767,orthorhombic,mp-777972
VOF2,1.831801706,monoclinic,mp-777999
Li2MnF4,0.160855242,monoclinic,mp-778554
LiMnF3,0.423772412,orthorhombic,mp-778819
Li2MnF5,0.149130239,orthorhombic,mp-779165
CaGeN2,3.1256,tetragonal,mp-7801
Mn6O5F7,0.903205243,triclinic,mp-780702
VOF3,1.478993578,monoclinic,mp-781081
K2HfF6,0.345188323,hexagonal,mp-8415
Li3FeO4,0.012396667,cubic,mp-849528
CoPO4,0.652782258,monoclinic,mp-849770
Fe4O5F3,1.056212294,orthorhombic,mp-850878
Li3CrO4,2.801327672,orthorhombic,mp-850964
S(OF)2,0.0266,tetragonal,mp-8537
Ca4SnS6,1.141586729,monoclinic,mp-866473
Ca2SnS4,0.209819801,hexagonal,mp-866580
K3TaF8,0.37978786,hexagonal,mp-866663
Ca2SnS4,0.802093753,orthorhombic,mp-866810
Ca2SnS4,0.330798497,tetragonal,mp-866922
Ca2SnS4,0.01722,tetragonal,mp-866943
LiCS,3.316929386,orthorhombic,mp-867689
C2WS4,0.06211,tetragonal,mp-8976
Fe(SiP)4,0.180141898,triclinic,mp-9198
C2SiS3,0.22701,orthorhombic,mp-9248
TaC3Te4,0.06476,cubic,mp-9295
NbFeSb,2.318406667,cubic,mp-9437
TiFeTe,1.729360041,cubic,mp-961673
ZnCdS2,0.146455957,tetragonal,mp-971712
Ca7(H6Cl)2,0.242210122,hexagonal,mp-984055
VC3Te4,0.207283333,cubic,mp-991652
NbC3Te4,0.05857,cubic,mp-991676
CHO2,1.749518617,orthorhombic,mp-996956
RbSnF3,3.512726518,triclinic,mp-998193
CsSnF3,1.685258878,triclinic,mp-998298
InSnCl3,1.855996637,monoclinic,mp-998560
CsSrCl3,0.477356472,trigonal,mp-998561
InGeCl3,0.102771228,trigonal,mp-998569
LiSnCl3,1.653692596,trigonal,mp-998591
KGeCl3,0.365306344,trigonal,mp-998613
CaTlF3,2.168500456,trigonal,mp-998615
TlGeF3,1.157018128,triclinic,mp-998712
Ca5(CrN3)2,0.968516362,monoclinic,mvc-11129
MgNiF4,0,tetragonal,mvc-14232
CaSnF4,0,tetragonal,mvc-16450
MgCF4,0,tetragonal,mvc-3102
CrPO5,2.376055749,monoclinic,mvc-3271
MgFeF4,0.940844669,monoclinic,mvc-3677
ZnCr2O7,0.59010467,monoclinic,mvc-7383
Ca2Sn3O8,0.886406121,hexagonal,mvc-7761
ZrZnN2,3.438908847,trigonal,mp-1014244
HfZnN2,2.940362946,trigonal,mp-1014251
KZnSb,0.306651002,hexagonal,mp-10161
TiZnN2,1.071152977,orthorhombic,mp-1016108
LiZnP,0.69049,cubic,mp-10182
Th2HN3,4.959721236,trigonal,mp-1019323
LuSbPt,0.475686667,cubic,mp-10194
La3Si6N11,1.664841371,tetragonal,mp-1019893
LaSi3N5,0.57178,orthorhombic,mp-1019967
LiGe2N3,0.526996413,orthorhombic,mp-1020059
ZnSiN2,1.844707778,orthorhombic,mp-1020712
Te4MoW,0.076286074,trigonal,mp-1023941
MoWS4,0.069292515,trigonal,mp-1023954
VZn2N3,1.694972386,orthorhombic,mp-1029262
Mg2ZnN2,2.067026667,cubic,mp-1029265
Mg2MnN3,3.300095391,orthorhombic,mp-1029288
LiSn2N3,0.993957537,orthorhombic,mp-1029294
RbVN2,1.44601,tetragonal,mp-1029312
NaRuN,1.693959278,hexagonal,mp-1029313
Zn2SbN3,0.744574953,orthorhombic,mp-1029334
Mg2VN3,1.949639547,orthorhombic,mp-1029368
Mg2SbN3,1.416298323,orthorhombic,mp-1029378
TaZn2N3,0.689623307,orthorhombic,mp-1029387
RbGe2N3,0.496730536,orthorhombic,mp-1029403
KGe2N3,0.36663,orthorhombic,mp-1029404
Mg2NbN3,1.573343343,orthorhombic,mp-1029408
KSi2N3,0.209373477,orthorhombic,mp-1029418
NbZn2N3,0.687162714,orthorhombic,mp-1029422
Mg2TaN3,1.558971927,orthorhombic,mp-1029442
ZnSnN2,1.069568032,orthorhombic,mp-1029469
Li7SbN4,0.269953333,cubic,mp-1029522
Na3W2N5,5.934497617,tetragonal,mp-1029565
KSi5N7,0.378350546,orthorhombic,mp-1029584
Y3Si6N11,1.490566492,tetragonal,mp-1029652
MgSnN2,1.530601283,orthorhombic,mp-1029791
Na3Mo2N5,2.343640822,tetragonal,mp-1029845
Rb3W2N5,0.234565889,tetragonal,mp-1029857
LiVN2,1.261683202,orthorhombic,mp-1029932
K3W2N5,0.523363024,tetragonal,mp-1029938
Mg3WN4,1.346394554,trigonal,mp-1030015
Na4ReN3,0.983861976,monoclinic,mp-10419
NaPN2,1.41069,tetragonal,mp-10572
SrLiP,0.877187207,hexagonal,mp-10614
HgSeO4,0.873265692,orthorhombic,mp-10796
NaGaTe2,0.674139429,tetragonal,mp-1094098
Li2SnSe3,0.603957048,monoclinic,mp-1095291
Sn(HgSe2)2,0.240311936,tetragonal,mp-10955
SbIrSe,0.15924,cubic,mp-1095507
Zr3N2O3,0.510720292,monoclinic,mp-1101160
GePtS,1.176427496,orthorhombic,mp-1101755
SbTeIr,0.11508,cubic,mp-1102430
Zn2PN3,1.939459875,orthorhombic,mp-1102523
Na(GeP)3,0.57867434,orthorhombic,mp-1104707
LiGaSi,0.11013,cubic,mp-11390
K3VSe4,0.57842,tetragonal,mp-1147776
LiGaSe2,0.137262101,orthorhombic,mp-11582
Na3PO4,0.952488214,orthorhombic,mp-1173671
Nd3GaO6,0.425584473,orthorhombic,mp-11773
HfSnPd,0.067486667,cubic,mp-11869
Y3GaS6,0.21599,orthorhombic,mp-1189598
Li8TeN2,0.399625,tetragonal,mp-1190809
Rb6HgS4,0.265070998,hexagonal,mp-1190842
K3SbS3,0.10076,cubic,mp-1194266
TiI2O7,1.914518415,orthorhombic,mp-1205304
LiMgSb,0.22596,cubic,mp-1207082
Sr3SbI3,0,cubic,mp-1208807
NaNbS6,0.271324251,monoclinic,mp-1210002
Hf3Ni3Sb4,0.66505,cubic,mp-1212441
K6MgO4,0.137627591,hexagonal,mp-12171
Re2MoSe4,0.079296132,triclinic,mp-1219132
PIrS,0.09836,cubic,mp-1220004
MnZn4Se5,0.965308418,monoclinic,mp-1221515
Mn(InTe2)2,0.557330607,tetragonal,mp-1221979
Mg(InTe2)2,0.548313028,tetragonal,mp-1222182
Li2ZnGe,1.24871,cubic,mp-12411
NaSnN,0.526540161,hexagonal,mp-12433
Mg3MoN4,2.352154731,orthorhombic,mp-1245510
Zn3WN4,2.219801313,orthorhombic,mp-1245967
Zn3MoN4,2.339153767,orthorhombic,mp-1246430
MgV2O4,0.230882095,trigonal,mp-1284706
SrHfO3,8.735864163,tetragonal,mp-13108
ZrGeTe4,0.566588015,orthorhombic,mp-13542
Y2Ge2O7,0.098945,tetragonal,mp-13546
Li3PO4,0.659700384,orthorhombic,mp-13725
Li2TeO4,0.071555,tetragonal,mp-13843
K3NbO8,1.80613,tetragonal,mp-14175
NaGe2N3,0.548641625,orthorhombic,mp-14433
Hf(PS3)2,0.156230462,orthorhombic,mp-14444
LaTa7O19,0.108417146,hexagonal,mp-14485
Tb2Ge2O7,0.063835,tetragonal,mp-14649
Tm2Ge2O7,0.10524,tetragonal,mp-14708
Na6MnSe4,0.369387576,hexagonal,mp-14780
Sr(PIr)2,1.551143272,trigonal,mp-15074
Li2GeO3,1.039842812,orthorhombic,mp-15349
MgSiN2,1.14581,tetragonal,mp-15701
Zn(GaSe2)2,0.054523113,tetragonal,mp-15776
Zn(GaTe2)2,0.062130518,tetragonal,mp-15777
HoSbPt,0.34505,cubic,mp-16376
K2V3O8,0.860525238,tetragonal,mp-16787
Na3WN3,0.473076775,monoclinic,mp-16839
